City_ID,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
106,Dekar,-21.5333,21.9333,88.84,25,80,4.34,BW,1672246996
107,Sola,-13.8833,167.55,79.75,74,100,5.21,VU,1672246997
108,Wuwei,37.9281,102.6414,18.27,40,3,3.71,CN,1672246998
109,Kumul,42.8,93.45,19.65,45,2,3.2,CN,1672246998
110,Cayenne,4.9333,-52.3333,77.04,88,100,10.36,GF,1672246998
111,Thompson,55.7435,-97.8558,-5.66,94,100,9.01,CA,1672246999
112,General Roca,-39.0333,-67.5833,82.62,9,20,9.46,AR,1672247000
113,Souillac,-20.5167,57.5167,77.38,73,40,5.75,MU,1672247000
114,Houma,29.5958,-90.7195,72.0,68,40,18.41,US,1672247001
115,Lagoa,39.05,-27.9833,59.25,71,94,11.23,PT,1672247002
116,Quatre Cocos,-20.2078,57.7625,77.11,69,29,10.51,MU,1672247002
117,Rocha,-34.4833,-54.3333,86.11,28,17,17.05,UY,1672246835
118,Panubigan,7.4281,123.3466,76.6,85,97,3.94,PH,1672247003
119,Aklavik,68.2191,-135.0107,-20.54,99,95,3.22,CA,1672247004
120,Nyurba,63.2842,118.3319,5.9,93,100,8.84,RU,1672247005
121,Fort Nelson,58.8053,-122.7002,-19.23,99,55,1.03,CA,1672247006
122,Arraial do Cabo,-22.9661,-42.0278,76.41,88,100,16.15,BR,1672247006
123,Hermanus,-34.4187,19.2345,69.8,71,2,18.14,ZA,1672246857
124,Norman Wells,65.282,-126.8329,-15.93,95,93,3.42,CA,1672247008
125,Kruisfontein,-34.0033,24.7314,70.88,78,4,11.27,ZA,1672247009
126,Cavalcante,-13.7975,-47.4583,80.47,61,72,7.4,BR,1672247009
127,Māngrol,21.1167,70.1167,71.62,51,9,3.94,IN,1672247010
128,Oktyabr'skoye,43.0645,44.7417,33.94,87,75,13.42,RU,1672247010
129,Raja,8.4596,25.678,73.94,24,19,5.01,SS,1672247011
130,Lüderitz,-26.6481,15.1594,71.37,66,0,29.97,NA,1672247012
